id,ibm_date,ibm_score,ibm_label,ibm_content
ars-technica,2023-11-13T18:59:10Z,0.0,neutral,"Enlarge/ These are piles of lithium harvested in Bolivia; Exxon's site in Arkansas will look almost entirely unlike this as it will use direct lithium extraction, not evaporation, to harvest the mine… [+1611 chars]"
abc-news,2023-11-14T20:30:35Z,-0.7716,negative,"NEW YORK -- New York City officials say retailers and food delivery companies must do more to halt the proliferation of unsafe e-bike and e-scooter batteries, after a fire blamed on an electric scoot… [+3372 chars]"
business-insider,2023-11-13T09:00:02Z,-0.392,negative,"Your fake AirPods may be able to fool others at a glance, but Lumafield used a CT scanner to show what's really going on with counterfeits.Jon Bruner/Lumafield
<ul>
<li>There are some major differen… [+3413 chars]"
ars-technica,2023-11-27T17:16:29Z,-0.5907,negative,"Enlarge/ Alfa Romeo has a new crossover called the Tonale. 
14 with 
I don't believe that Jeremy Clarkson was right when he said that you could only be a true petrolhead once you'd owned an Alfa Ro… [+3207 chars]"
ars-technica,2023-11-21T12:00:43Z,0.0,neutral,"Enlarge/ A Porsche 963, one of the four different kinds of hybrid prototype racing cars built to the LMDh rules, running in IMSA's GTP class at the 2023 Petit Le Mans at Road Atlanta in October.
0 w… [+4788 chars]"
ars-technica,2023-11-19T11:30:09Z,0.7773,positive,"Enlarge/ David Brown Automotive makes modernized minis with electric power for well-heeled buyers.
7 with 
Have you ever thought: ""I wonder what a $150,000 classic Mini would be like?"" If so, you'r… [+6269 chars]"
ars-technica,2023-11-24T12:30:46Z,0.6506,positive,"Enlarge/ The new Panamera design features raised wings over the hood and new nose section with central air intake. The Turbo E-Hybrid gets some visual differentiation with air blades, a different Por… [+6340 chars]"
the-next-web,2023-11-16T13:37:46Z,0.0,neutral,"For UK battery startup NyoBolt, six seems to be the magic number. First, in June it showcased an EV that could be fully charged in just six minutes (a claimed record). And today it unveiled a new kin… [+3589 chars]"
the-next-web,2023-11-24T12:13:47Z,0.6816,positive,"Sandwiched between Germany, France, and Belgium, the tiny country of Luxembourg is one of Europes smallest, but also its wealthiest its residents enjoy the second-highest per capita income in the wor… [+5041 chars]"
business-insider,2023-11-27T15:18:07Z,0.3932,positive,"Máximo Tuja for Business Insider
30 of the top global leaders working toward climate solutions in 2023In a year of record-breaking climate disasters, shifting ESG priorities, and news about a loomin… [+60508 chars]"
the-next-web,2023-11-10T07:00:50Z,0.838,positive,"Climate tech is receiving a proportionally larger share of what is, undeniably, a muted venture capital investment environment. VC and private equity investment in the sector has, thus far in 2023, f… [+8154 chars]"
reuters,2023-11-19T23:37:35Z,-0.9164,negative,"BUENOS AIRES, Nov 19 (Reuters) - Argentina elected libertarian outsider Javier Milei as its new president on Sunday, rolling the dice on an outsider with radical views to fix an economy battered by t… [+4185 chars]"
reuters,2023-11-21T13:41:15Z,-0.4544,negative,"LONDON, Nov 21 (Reuters) - Giant batteries that ensure stable power supply by offsetting intermittent renewable supplies are becoming cheap enough to make developers abandon scores of projects for ga… [+7297 chars]"
al-jazeera-english,2023-11-09T20:58:07Z,0.0,neutral,"Portugals President Marcelo Rebelo de Sousa has dissolved parliament and called snap elections, two days after the countrys prime minister resigned amid a continuing corruption investigation.
Rebelo… [+2488 chars]"
techradar,2023-11-11T05:21:09Z,0.6178,positive,"Researchers have found that adding salt to computer systems can prevent devices from overheating and boost performance by more than 32%. 
A team at the City University of Hong Kong hope this passive… [+2005 chars]"
new-york-magazine,2023-11-13T19:46:50Z,0.0,neutral,"Over the weekend, ExxonMobil  the oil-and-gas giant announced it would also become one of the countrys largest producers of lithium, the metal used to power electric vehicles. It turns out that Arkan… [+1952 chars]"
business-insider,2023-11-13T12:59:10Z,-0.7416,negative,"A Tesla owner said he heard a hissing sound coming from the battery the day before it caught fire in his garage. 
The vehicle, a Model X, caught alight Friday and took firefighters hours to put out… [+2257 chars]"
next-big-future,2023-11-24T16:10:03Z,0.0,neutral,"Toyota has published an advanced battery roadmap in September, 2023 which has new iron phosphate batteries and solid state batteries in 2026.
Toyota’s strategy includes three new liquid electrolyte … [+4124 chars]"
cbs-news,2023-11-27T18:58:00Z,0.3435,positive,"Amazon
Don't worry if you missed out on all those Black Friday tool deals. Cyber Monday 2023 is on, and the deals are still hot for Dewalt fans. Dewalt tools is offering big discounts on top sellers… [+6822 chars]"
vice-news,2023-11-22T14:36:48Z,-0.8138,negative,"Dozens of people have been convinced to quit vaping. Not because of the health concerns or the cost, but in solidarity with the people of the Democratic Republic of Congo.
I know these are the last … [+3061 chars]"
the-wall-street-journal,2023-11-13T13:00:00Z,-0.2816,negative,"Exxon Mobil said Monday it is starting to drill 
for lithium in Arkansas and aims to become a major U.S. supplier for makers of electric-vehicle batteries by 2030.  The Texas-based oil companys entr… [+452 chars]"
cbs-news,2023-11-10T19:41:30Z,0.7544,positive,"Walmart
Planning some end-of-year home improvement projects before guests arrive for Thanksgiving and Christmas? We've found a pretty incredible deal on a tool kit that you're going to need to do th… [+1446 chars]"
next-big-future,2023-11-23T08:26:30Z,0.753,positive,"Northvolt announced a state-of-the-art sodium-ion battery, developed for the expansion of cost-efficient and sustainable energy storage systems worldwide. The cell has been validated for a best-in-cl… [+2807 chars]"
fortune,2023-11-15T20:00:00Z,0.0,neutral,"On this weeks episode of Fortunes Leadership Next podcast, co-host Alan Murray talks with chemist Christina Lampe-Önnerud, the CEO of Cadenza Innovation, about her efforts to power the battery indust… [+33594 chars]"
techradar,2023-11-11T10:00:53Z,-0.404,negative,"The EICMA show tends to only appear on the radar of ardent motorcycle fans, as it's the motor show to attend if you want to catch a glimpse of fresh metal, the occasional concept machine, and the lat… [+7964 chars]"
fortune,2023-11-14T11:01:44Z,0.0,neutral,"Exxon in early 2023 acquired the rights to 120000 gross acres (48562 gross hectares) of the Smackover formation in southern Arkansas, considered one of the most prolific lithium resources of its type… [+1619 chars]"
fortune,2023-11-26T20:37:57Z,0.2815,positive,"Battery giants are starting to put their money on new sodium-based technology, a sign that there could be yet another shakeup in the industry thats crucial for the energy transition.Sodium found in r… [+3869 chars]"
techradar,2023-11-27T14:59:37Z,-0.9474,negative,"Battery swapping technology in electric vehicles is nothing new. In fact, this writer is unfortunately old enough to remember witnessing Renault demonstrating its surprisingly state-of-the-art Fluenc… [+4082 chars]"
breitbart-news,2023-11-14T21:12:16Z,0.0,neutral,Stellantis is offering to buy out thousands of its American white-collar employees as a result of the company’s transition to electric vehicles (EVs) — a move spurred by tax credits from President Jo… [+3045 chars]
fortune,2023-11-15T17:09:50Z,-0.416,negative,"The Energy Department is making a push to strengthen the U.S. battery supply chain, announcing up to $3.5 billion for companies that produce batteries and the critical minerals that go into them.Batt… [+4202 chars]"
cbs-news,2023-11-12T21:12:15Z,0.0,neutral,"Recipients of the 2023 Earthshot Prize Awards were officially chosen last week in Singapore, marking the third annual ceremony where Prince William's climate-focused charity recognized companies that… [+5156 chars]"
business-insider,2023-11-15T11:16:25Z,-0.7687,negative,"NEW YORK (AP) New York City officials say retailers and food delivery companies must do more to halt the proliferation of unsafe e-bike and e-scooter batteries, after a fire blamed on an electric sco… [+3630 chars]"
the-verge,2023-11-13T18:04:45Z,0.0,neutral,"ExxonMobil is a lithium company now
ExxonMobil is a lithium company now
 / ExxonMobil plans on extracting and producing battery-grade lithium from the Smackover Formation in Arkansas.
ByEmma Roth,… [+2526 chars]"
breitbart-news,2023-11-10T18:40:51Z,-0.4535,negative,"A Tesla vehicle caught fire in Plano, Texas, early Friday morning, leading to concerns about electric vehicle battery safety. The owner claims he just had a new battery installed by Elon Musk’s compa… [+3033 chars]"
newsweek,2023-11-17T12:17:44Z,0.9846,positive,"A robust global mining industry is essential for a growing green economy. Some facts to bear in mind: a solar panel requires aluminum, steel, copper, zinc, and silver. A wind turbine: steel, copper, … [+1518 chars]"
breitbart-news,2023-11-11T16:49:00Z,0.0,neutral,Chinese dictator Xi Jinping will attend the Asia-Pacific Economic Cooperation (APEC) summit in San Francisco next week and is scheduled to be the guest of honor at a dinner attended by hundreds of U.… [+6132 chars]
newsweek,2023-11-18T09:00:01Z,0.0,neutral,"Homes could soon feature columns of concrete mixed with charcoal that have the ability to store electricity and discharge it when needed by occupants.
Researchers at the Massachusetts Institute of T… [+8306 chars]"
abc-news,2023-11-13T18:22:15Z,0.0,neutral,"LITTLE ROCK, Ark. -- Exxon Mobil on Monday announced it's drilling for lithium in southern Arkansas, with the oil giant expected to begin production of the critical material for electric vehicles by … [+1835 chars]"
fortune,2023-11-22T13:05:21Z,-0.7966,negative,Ford chief executive Jim Farley is downsizing plans for a new low-cost battery cell plant in the automakers home state of Michigan amid a sharp slowdown slump in EV sales.The market for electric vehi… [+3469 chars]
fortune,2023-11-17T19:24:57Z,-0.8037,negative,"New Teslas are an increasingly common sight on North American roads, but they dont stay new foreverand some get into accidents. If one takes more damage than is worth fixing, insurers might send it t… [+3458 chars]"
newsweek,2023-11-22T16:03:39Z,-0.3659,negative,"China has shown off its latest anti-drone gun, highlighting the increasing focus on countering the threats posed by drones both large and small in modern warfare.
China's hand-held innovation, which… [+3065 chars]"
fortune,2023-11-09T17:52:41Z,0.3846,positive,"American policymakers and automakers just got a big wake-up call with Chinas announcement that it will require a special export license for battery-grade graphite, effectively restricting exports. Wh… [+4077 chars]"
